"IdOnaDatos";"IdOrganizacion";"OrgNombreComercial";"OrgRazonSocial";"OrgCodigoAcreditacion";"OrgPais";"OrgCiudad";"OrgDireccion";"OrgWeb";"orgCorreo";"orgTelefono";"OrgEstadoAcreditado";"OrgEsquemaAcreditado";"OrgNormaAcreditada";"OrgReconocimiento";"OrgFechaActualizacion"
"1";"415";"AFH SERVICES";"LABORATORIO AMBIFORHEALTH SERVICES CÍA LTDA";"SAE LEN 05-010";"Ecuador";"Quito";"DIEGO DE VELASQUEZ OE4-95 Y JOHN F. KENNEDY";NULL;"123vtipantunia@afhservices.com.ec";"+593 2-249-3511";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-08-01"
"1";"221";"Agencia de Regulación y Control de Energía y Recursos Naturales no Renovables";"Agencia de Regulación y Control de Energía y Recursos Naturales no Renovables";"SAE LEN 15-009";"Ecuador";"Quito";"Av. Naciones Unidas E7-71 y Av. de los Shyris";NULL;"123ucncch@controlrecursosyenergia.gob.ec";"+593 2-396-6500";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2015-10-08"
"1";"69";"AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO";"AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO";"SAE LEN 09-003";"Ecuador";"Quito";"Av. Interoceánica km 14,5 y Eloy Alfaro Granja del MAGAP";NULL;"123carolina.campos@agrocalidad.gob.ec";"+593 2-382-8860";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2023-10-04"
"1";"312";"AGENCIA NACIONAL DE REGULACIÓN, CONTROL Y VIGILANCIA SANITARIA - ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ";"AGENCIA NACIONAL DE REGULACIÓN, CONTROL Y VIGILANCIA SANITARIA - ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ";"SAE LEN 14-003";"Ecuador";"Guayaquil";"Parque Samanes, Av. Francisco de Orellana y Av. Paseo del Parque. Bloque 5";NULL;"123diana.palacios@controlsanitario.gob.ec";"043727440";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2014-02-28"
"1";"13";"AGRARPROJEKT S.A";"AGRARPROJEKT S.A";"SAE LEN 19-014";"Ecuador";"Quito";"Urbanización el Condado Calle V y Avenida A # 941";NULL;"123info@agrarprojekt.com";"2490575";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2019-12-05"
"1";"313";"AGRIPAC S.A";"AGRIPAC S.A";"SAE LEN 20-002";"Ecuador";"Durán";"Km 5.5 vía Duran Tambo";NULL;"123gdsalto@agripac.com.ec";"042590695";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2020-02-28"
"1";"267";"AGROANALISIS S.A.";"AGROANALISIS S.A.";"SAE LEN 21-007";"Ecuador";"Durán";"Oramas Gonzalez, Manzana 5 Solar 2, Parroquia Eloy Alfaro, Durán";NULL;"123info@agroanalisis.com.ec";"+593 4-286-3725";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-04-21"
"1";"298";"AGUIBULAB S.A.";"AGUIBULAB S.A";"SAE LEN 20-010";"Ecuador";"Machala";"CALLEJON 23 DE ABRIL E/ 13AVA NORTE Y 14AVA NORTE";NULL;"123y.buele@aguibulab.com";"+593 7-600-2171";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2020-08-19"
"1";"292";"Alem Cía Ltda";"ALVAREZ LARREA EQUIPOS MEDICOS ALEM CIA. LTDA.";"SAE LC 20-001";"Ecuador";"Quito";"Gaspar de Carvajal N30-53 y San Gabriel";NULL;"123calibracion@alem.com.ec";"+593 99 816 7709";"ACREDITADO";"CALIBRACIÓN";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2020-02-12"
"1";"307";"ALFRED H KNIGHT DEL PERU";"ALFRED H KNIGHT DEL PERU SAC";"SAE LEN 19-002";"Peru";"Lima";"Urb. Condet Vía Av. Guillermo Dansey Nro1890";NULL;"123ahk.ecuador@ahkgroup.com";"+593 98 994 4114";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"INTERNACIONAL";"2022-08-26"
"1";"75";"Allianz Qualitá";"Allianz Qualitá Cia. Ltda.";"SAE OI 22-002
";"Ecuador";"Quito";"Av. Río Coca S/N Av. Río Santiago";NULL;"123info@allianzqualita.com";"+593 98 214 9172";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2023-11-20"
"1";"2";"ALS Ecuador";"ALSECU S.A.";"SAE LEN 05-005";"Ecuador";"Quito";"De los Eucaliptos E 3 23 y  de los Cipreses";NULL;"123santiago.robles@alsglobal.com";"+593 98 700 3935";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2005-12-24"
"1";"121";"AMBIENLAB CÍA. LTDA.";"AMBIENLAB SERVICIOS AMBIENTALES Y LABORALES CÍA. LTDA.";"SAE LEN 19-009";"Ecuador";"Quito";"Iñaquito, Calle Juan González N35-26 y Juan Pablo Sanz, Edificio Torres Vizcaya, Torre Norte, Piso 2, Oficina 2C.";NULL;"123gerencia@ambienlab.com.ec";"+593 98 733 1740";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2019-08-21"
"1";"544";"AMBIGEST";"AMBIGEST GESTION AMBIENTAL CIA LTDA";"SAE-LEN-06-013";"Ecuador";"Quito";"AROSEMENA TOLA E14-126";NULL;"123gerencia@ambigest-lab.com";"2465377";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2006-05-05"
"1";"147";"Ambigetec";"Ambigetec Laboratorio Ambiental y Gestión Técnica Cía. Ltda. B.I.C.";"SAE LEN 22-010";"Ecuador";"Quito";"Av. 6 de Diciembre N26-32 y Leonidas Batallas";"www.ambigetec.com";"123ambigetec@gmail.com";"+593 99 849 9044";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-09-30"
"1";"946";"American Big Certifications";"American Big Certifications";"SAE CPE 23-001";"Mexico";"Chihuahua";"Calle 25a 1/2 # 908, Colonia Santo Niño. CP. 31200";NULL;"123ernesto.sanz@americanbigcertifications.com";"+52 614 125 3132";"ACREDITADO";"PERSONAS";"SO/IEC 17024:2012";"INTERNACIONAL";"2023-08-08"
"1";"162";"AMSPEC DE ECUADOR S.A.";"AMSPEC DE ECUADOR S.A.";"SAE OI 15-001";"Ecuador";"Quito";"Rumipamba E2-194 y Av. República, Edificio Signature, Piso 8, Oficina 805";NULL;"123christian.coloma@amspecgroup.com";"+593 2-351-8378";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2015-03-31"
"1";"264";"ANAVANLAB CIA. LTDA.";"ANALITICA AVANZADA - ASESORIA Y LABORATORIOS ANAVANLAB CIA. LTDA.";"SAE LEN 13-006";"Ecuador";"Quito";"LEONARDO DA VINCI #S6-236 Y ALBERTO DURERO (CUMBAYA LA PRIMAVERA)";NULL;"123wendyheredia@aaalab.com.ec";"+593 2-514-3303";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2023-04-19"
"1";"248";"Andes Petroleum Ecuador Ltd.";"Andes Petroleum Ecuador Ltd.";"SAE LEN 15-011";"Ecuador";"Francisco de Orellana";"El Coca, vía al Auca Km.35 margen izquierdo a 200 metros";NULL;"123jaime.abad@andespetro.com";"+593 2-298-8500";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2015-10-30"
"1";"172";"APPLUS DEL ECUADOR";"REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S.A";"SAE OI 21-005";"Ecuador";"Guayaquil";"Calle: A.V. PM GILBERT sin número, frente al puerto Santa Ana, edificio The Point, piso 9, oficina 905";NULL;"123psanchez.rodriguez@applus.com";"+593 99 529 0810";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2021-09-21"
"1";"242";"AQLAB LABORATORIOS";"AQLAB LABORATORIOS ACOSTA Y COMPAÑIA";"SAE LEN 14-009";"Ecuador";"Francisco de Orellana";"Juan Huncite s/n y Fray Gregorio de Aluminia";NULL;"123laboratorio@aqlabec.com";"+593 6-288-1715";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-08-24"
"1";"391";"ASIA SURVEYORS";"ASIASURVEYORS S.A.";"SAE OI 22-010";"Ecuador";"Guayaquil";"AV. JOSÉ ASSAF BUCARAM Intersección: 1ER. CALLEJÓN 13 A";NULL;"123rhidalgo@annexasia.com";"+593 4-268-2295";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2022-11-18"
"1";"19";"ASIAM";"Asiambusiness del Ecuador S.A.";"SAE CP 21-001";"Ecuador";"Quito";"Rumipamba E2-194 y Av Republica";NULL;"123calidad@asiam-lat.com";"+593 2-604-4744";"ACREDITADO";"PRODUCTOS";"NTE INEN-ISO/IEC 17065";"NACIONAL";"2021-08-03"
"1";"955";"ASIAM";"ASIAMBUSINESS DEL ECUADOR S.A";"SAE OI 13-020";"Ecuador";"Quito";"Calle: RUMIPAMBA Número: E2-194 Intersección: REPUBLICA Edificio: SIGNATURE Número de oficina: 1101 Número de piso: 11";NULL;"123calidad@asiam-lat.com";"+593 99 395 4008";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2013-10-17"
"1";"492";"ASOCIACION HOLSTEIN FIRESIAN DEL ECUADOR";"ASOCIACION HOLSTEIN FRIESIAN DEL ECUADOR";"SAE LEN 19-013";"Ecuador";"Quito";"Conocoto, calle Manuela Cañizares OE3-101 y San Juan de Dios Morales.";NULL;"123laboratorio@holsteinecuador.com";"2348328";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2019-12-05"
"1";"94";"ASOSERAGREFOR";"ASOCIACION DE SERVICIOS AGRICOLAS GREEN FORCE FUERZA VERDE ASOSERAGREFOR";"SAE OI 22-004";"Ecuador";"Machala";"4TA NORTE ENTRE SANTA ROSA Y VELA";NULL;"123asoseragrefor@gmail.com";"+593 98 151 5683";"RETIRADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2022-02-24"
"1";"165";"BCI";"BCIBUREAU CERTIFICACION & INSPECCION DE EQUIPOS S.A.";"SAE OI 15-006";"Ecuador";"Quito";"EL MORLAN N49-81 Y CALLE C";NULL;"123gestioncalidad@bci.com.ec";"+593 99 770 1045";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2015-12-04"
"1";"574";"BEST-INSPECTION S A";"BEST-INSPECTION S A";"SAE OI 22-007";"Ecuador";"Quito";"PICHINCHA / QUITO / IÑAQUITO / REP. DEL SALVADOR N36-213 Y AV.NACIONES UNIDAS";NULL;"123bryan.buri@bestinspectionsa.com";"+593 96 999 8888";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2022-04-04"
"1";"877";"BICERT";"BICERT, S.C.";"SAE CSC 23-001";"Mexico";"EDOMEX";"Retorno Hacienda de Rocío 6-12, Col. Hacienda de las Palmas; Huixquilucan CP 52763, EDOMEX";NULL;"123alejandro.rios@bicert.com.mx";"+52 55 4515 3748";"ACREDITADO";"SISTEMAS DE GESTIÓN DE CALIDAD";"ISO/IEC 17021-1, ISO/IEC 17021-3 ";"INTERNACIONAL";"2023-05-24"
"1";"18";"Biofactor S.A.";"Biofactor S.A.";"SAE LEN 21-003";"Ecuador";"Durán";"kilometro 9.5 via duran tambo";NULL;"123dmanosalvas@biofactor.com.ec";"+593 4-268-1905";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2021-03-11"
"1";"213";"BMTLAB";"BMTLAB LABORATORIOS E INGENIERIA SOCIEDAD POR ACCIONES SIMPLIFICADA";NULL;"Ecuador";"Riobamba";"CONDOMINIOS DE LA CRUZADA SOCIAL B10 202 Y 11 DE NOVIEMBRE";NULL;"123bmtlab2021@gmail.com";"+593 99 139 1623";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2024-02-06"
"1";"24";"BRITRANSFORMADORES S.A.";"BRITRANSFORMADORES S.A.";"SAE LEN 20-004";"Ecuador";"Durán";"LOTIZACION LAS BRISAS Barrio: CAFIESA Calle: SN Numero: 1B Interseccion: SN Manzana: 1 Piso: 0 Carretero: VIA DURAN - TAMBO Kilometro: 4.5 Referencia ubicacion: DETRAS DE LA FABRICA DE CHOCOLATES CAFIESA";NULL;"123asistentelab@britransformadores.com";"+593 98 959 6243";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2020-03-23"
"1";"754";"BST GLOBAL CERTIFICATION SERVICES";"BUSINESS SOLUTIONS AND TRADING CONSBST S.A - CONSBST SA";"SAE CSC 21-001";"Ecuador";"Guayaquil";"Bálsamos 414 y Ébanos";NULL;"123gerencia@bstcertificadora.com";"+593 4-506-0043";"ACREDITADO";"SISTEMAS DE GESTIÓN DE CALIDAD";"ISO/IEC 17021-1, ISO/IEC 17021-3 ";"NACIONAL";"2021-04-09"
"1";"368";"Bureau Veritas Ecuador S.A.";"Bureau Veritas Ecuador S.A.";"SAE OI 13-013";"Ecuador";"Quito";"Checoslovaquia E9-95 y Suiza, Edificio Eveliza Plaza, Piso 8, oficina 801";NULL;"123carla.simbana@bureauveritas.com";"+593 4-239-9201";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2018-10-05"
"1";"173";"Bureau Veritas Ecuador S.A.";"Bureau Veritas Ecuador S.A.";"SAE CP 14-001";"Ecuador";"Quito";"Checoslovaquia E9-95 y Suiza, Edificio Eveliza Plaza, Piso 8 , oficina 801";NULL;"123veronika.caicedo@bureauveritas.com";"+593 98 895 1097";"ACREDITADO";"PRODUCTOS";"NTE INEN-ISO/IEC 17065";"NACIONAL";"2023-10-16"
"1";"369";"Bureau Veritas Ecuador S.A.";"Bureau Veritas Ecuador S.A.";"SAE LC 20-002";"Ecuador";"Guayaquil";"Cdla. Guayaquil Tercer callejón 14 y Emilio Soro Lorente Mz8 , solar 4";NULL;"123gloria.coronel@bureauveritas.com";"+593 98 972 9415";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2023-04-18"
"1";"367";"Bureau Veritas Ecuador S.A.";"Bureau Veritas Ecuador S.A.";"SAE CSC 09-002";"Ecuador";"Quito";"Checoslovaquia E9-95 y Suiza, Edificio Eveliza Plaza, Piso 8 , oficina 801";NULL;"123marcela.caceres@bureauveritas.com";"+593 4-239-9201";"ACREDITADO";"SISTEMAS DE GESTIÓN DE CALIDAD";"ISO/IEC 17021-1, ISO/IEC 17021-3 ";"NACIONAL";"2007-08-03"
"1";"393";"C.I.C.";"CALIDAD INTERNACIONAL DE CERTIFICACIONES CICAYBECE S.A.";"SAE CSC 14-001";"Ecuador";"Quito";"Pedro Ponce Carrasco E8-06 y Diego de Almagro Edf. Almagro Plaza";NULL;"123jefaturatecnica@cicert.com.ec";"+593 2-515-0734";"ACREDITADO";"SISTEMAS DE GESTIÓN DE CALIDAD";"ISO/IEC 17021-1, ISO/IEC 17021-3 ";"NACIONAL";"2014-05-20"
"1";"184";"CALIVERIF CIA. LTDA.";"VERIFICADORA DE CALIDAD CALIVERIF CIA. LTDA.";"SAE OI 13-002";"Ecuador";"Quito";"Pedregal N34-224 y Rumipamba";NULL;"123inspecciones@caliverif.com";"+593 99 031 7650";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2022-07-21"
"1";"514";"CALPELAB Cía. Ltda.";"CALPELAB Cía. Ltda.";"SAE LC 20-003";"Ecuador";"Quito";"Av. De Los Conquistadores E14-197 y General Alfonso Perrier";NULL;"123calpelab@mcgages.com";"+593 99 873 6691";"ACREDITADO";"CALIBRACIÓN";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2024-02-19"
"1";"707";"Camacho Cifuentes Laboratorio e Ingenieria Total";"Ecudyveng Cia Ltda";"SAE LEN 17-002";"Ecuador";"Quito";"Montevideo Oe10-60";NULL;"123mypcons@uio.telconet.net";"+593 99 759 3724";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2017-03-16"
"1";"51";"CAMIN CARGO CONTROL ECUADOR";"CAMINCARGO CONTROL ECUADOR S.A.";"SAE OI 13-005";"Ecuador";"Quito";"Av. Amazonas N 34-159 e Iñaquito";NULL;"123OpsEcuador@camincargo.com";"+593 2-292-0027";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2013-05-31"
"1";"491";"CEDINAP CENTRO DE INGENIERÍA";"CEDINAP CENTRO DE INGENIERIA APLICADA PACE & SINCON CIA.LTDA.";"SAE OI 18-027";"Ecuador";"Riobamba";"Riobamba: Larrea 21-27 y Guayaquil 2do piso OF. 4";NULL;"123cedinapservicios@gmail.com";"+593 3-294-4544";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2018-12-04"
"1";"272";"CENAIN";"ASSAYLAB CIA LTDA";"SAE LEN 10-016";"Ecuador";"Quito";"Av. Real Audiencia N66-97 y de los Eucaliptos";NULL;"123assaylabcenain@gmail.com";"+593 99 710 1449";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2010-12-29"
"1";"229";"cendingenieria s.a.";"cendingenieria s.a.`";"SAE LEN 19-016";"Ecuador";"Ambato";"César Salazar y Bouger Izamba Ambato";NULL;"123mariobrito@cendingenieria.com";"+593 99 980 7639";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-11-24"
"1";"263";"CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL QUITO";"CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL QUITO";"SAE LCL 17-002";"Ecuador";"Quito";"FLORES N6-28 Y OLMEDO";NULL;"123sylvia.obaco@iess.gob.ec";"+593 2-396-7200";"ACREDITADO";"CLÍNICOS";"Norma ISO 15189:2012";"NACIONAL";"2017-06-29"
"1";"299";"Centro de Diagnostico Clínico Veterinario ANIMALAB CIA. LTDA.";"Centro de Diagnostico Clínico Veterinario ANIMALAB CIA. LTDA.";"SAE LEN 22-003";"Ecuador";"Mejí­a";"Machachi, Av. Pablo Guarderas y Nardos N7-84";NULL;"123c.d.c.v.animalab@hotmail.com";"+593 99 706 0045";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-03-03"
"1";"29";"CENTRO DE INVESTIGACIÓN DE TECNOLOGÍAS AMBIENTALES- CITGAV- EP PETROECUADOR";"Empresa Pública de Hidrocarburos del Ecuador EP Petroecuador";"SAE LEN 21-013";"Ecuador";"Joya de los Sachas";"Joya de los Sachas, vía Sacha-Coca km. 4 ½ tras de la Estación Sacha Central, Campamento de EP PETROECUADOR, Proyecto Amazonia Viva.";NULL;"123Karina.Garcia@eppetroecuador.ec";"2993700";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2021-11-25"
"1";"352";"Centro de Investigación y Control Ambiental - CICAM";"Escuela Politécnica Nacional";"SAE LEN 06-012";"Ecuador";"Quito";"Ladrón de Guevara E11-253 y Andalucía";NULL;"123cicam@epn.edu.ec";"+593 2-393-8864";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2007-03-09"
"1";"280";"Centro de Metrología del Ejército Ecuatoriano CMEE";"Agrupamiento de Comunicaciones y Guerra Electrónica de la Fuerza Terrestre";"SAE LEN 10-006";"Ecuador";"Quito";"Av. Los Pinos N7-105 y Av. 6 de Diciembre/ Urb. Kennedy FUERTE MILITAR RUMIÑAHUI";NULL;"123dpto_calidad@cmee.mil.ec";"2414432";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2010-05-12"
"1";"273";"Centro de Metrología del Ejército Ecuatoriano CMEE";"Agrupamiento de Comunicaciones y Guerra Electrónica de la Fuerza Terrestre";"SAE LC 10-005";"Ecuador";"Quito";"Av. Los Pinos N7-105 y Av. 6 de Diciembre/ Urb. Kennedy FUERTE MILITAR RUMIÑAHUI";NULL;"123calidad-cmee@hotmail.com";"2414432";"ACREDITADO";"CALIBRACIÓN";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2010-05-12"
"1";"269";"CENTRO DE SOLUCIONES ANALITICAS INTEGRALES CENTROCESAL CIA LTDA.";"CENTRO DE SOLUCIONES ANALITICAS INTEGRALES CENTROCESAL CIA LTDA.";"SAE LEN 12-001";"Ecuador";"Quito";"Calle Ignacio Asín N52-208 y Gonzalo Valdiviezo, Edificio CENTROCESAL.";NULL;"123infocentrocesal@gmail.com";"+593 2-500-3838";"ACREDITADO";"INVESTIGACIÓN Y CONTROL DE CALIDAD";"NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2023-03-28"
"1";"342";"Centros Médicos Especializados Cruz Roja Ecuatoriana";"Compañía de Servicios Solidarios Cruz Vital S.A.";"SAE LEN 16-016";"Ecuador";"Quito";"Papallacta OE1-66 y Av. De la Prensa";NULL;"123gestioncalidad@centrosmedicoscruzroja.com.ec";"(02)2245074";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2016-11-21"
