"idOrganizacion";"IdOrganismoInspeccion";"OinCampoSector";"OinSubcampoSubsector";"OinTipoProductoServicioCategoria";"OinActividad";"OinRango";"OinDocumentoNormativo";"OinTipoOrganismo";"OinVigenteApartirDe"
"107";"7";"Hidrocarburos/Inspección de válvulas de seguridad y alivio de presión";"--";"--";"Válvulas de seguridad,Válvulas de alivio";"--";"<p>API-RP576 (2017). AMERICAN PETROLEUM INSTITUTE. Inspection of Pressure-relieving Devices. ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 1</p><p>UL 132 (2021) STANDARD FOR SAFETY RELIEF VALVES FOR ANHYDROUS AMMONIA LP-GAS NTE INEN-2261 (2015). Ed. 1. Tanques para gases a baja presión. requisitos e inspección.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de pruebas de presión en tuberías (hidrostáticas, neumáticas, hidroneumáticas)";"--";"--";"Tuberías de proceso,Tuberías de transporte de hidrocarburos líquidos,Tuberías de transporte y distribución de gas";"--";"<p>ASME B31.3 (2020). Process Piping </p><p>ASME B31.4 (2019). Pipeline transportation systems for liquid hydrocarbons and other liquids. </p><p>ASME B31.8 (2020). Gas transmission and distribution piping systems. </p><p>EPA 510-B-19-005 (2019). Standard Test ProceduresFor Evaluating Release DetectionMethods: Pipeline release</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de pruebas hidrostáticas en tanques atmosféricos verticales";"--";"--";"Tanques atmosféricos verticales";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction </p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"107";"7";"Ambiental/Inspección de vehículos que transportan materiales peligrosos";"--";"--";"Vehículos que transportan materiales peligrosos ";"--";"<p>NTE INEN-2266 (2013).Ed.2. Transporte, almacenamiento y manejo de productos químicos peligrosos.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de pruebas de presión en recipientes a presión (hidrostáticas, neumáticas, hidroneumáticas)";"--";"--";"Recipientes a presión";"--";"<p>ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 1 </p><p>ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 2 </p><p>API 510 (2014). Pressure Vessel Inspection Code: In-service Inspection, Rating, Repair, and Alteration</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de seguridad de autotanques y vaccums para hidrocarburos líquidos";"--";"--";"Autotanques y vaccums";"--";"<p>NTE INEN-2266 (2013). Ed. 2. Transporte, almacenamiento y manejo de materiales peligrosos. Requisitos.</p><p>NTE INEN-2251 (2013). Ed. 1 .Manejo, almacenamiento, transporte y expendio en los centros de distribución de combustibles líquidos. Requisitos.</p><p>NTE INEN-2288.(2000), Ed. 1. Productos químicos industriales peligrosos , Etiquetado de precaución. Requisitos</p>";"A";"--"
"107";"7";"Industrial/Inspección de ensayos no destructivo por ultrasonido convencional y arreglo de fases ";"--";"--";"Tuberías,Estructuras metálicas,Recipientes";"--";"<p>ASTM-E164 (2019). Standard Practice for Contact Ultrasonic Testing of Weldments. </p><p>ASTM-E2700 (2020). Standard Practice for Contact Ultrasonic Testing of Welds Using Phased Arrays. </p><p>ASME V Art 4 (2021). Ultrasonic Examination</p>";"A";"--"
"107";"7";"Industrial/Inspección de pruebas hidrostáticas en tanques atmosféricos verticales";"--";"--";"Tanques atmosféricos verticales";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction </p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"107";"7";"Industrial/Inspección de pruebas de presión en recipientes a presión (hidrostáticas, neumáticas, hidroneumáticas)";"--";"--";"Recipientes a presión";"--";"<p>ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 1 </p><p>ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 2 </p><p>API 510 (2014). Pressure Vessel Inspection Code: In-service Inspection, Rating, Repair, and Alteration</p>";"A";"--"
"107";"7";"Industrial/Inspección de verticalidad, redondez y asentamiento  de tanques de almacenamiento";"--";"--";"Tanques cilíndricos verticales";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction </p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"107";"7";"Industrial/Inspección de seguridad en estaciones de servicio y áreas de almacenamiento de combustible en industrias.";"--";"--";"Estaciones de servicio y áreas de almacenamiento de combustible en industrias.";"--";"<p>INEN-2251 (2013). Ed. 1. Manejo, transporte y expendio en los centros de distribución de combustibles líquidos </p><p>NFPA-30 A (2018). Motor Fuel Dispensing Facilities and Repair Garages. </p><p>NFPA-30 (2018). Flammable and Combustible Liquids Code. </p><p>NTE INEN-2266 (2013). Ed. 2. Transporte, almacenamiento y manejo de materiales peligrosos. Requisitos. </p><p>NTE INEN-2288.(2000), Ed. 1. Productos químicos industriales peligrosos , Etiquetado de precaución. Requisitos</p>";"A";"--"
"107";"7";"Industrial/Inspección de válvulas de alivio";"--";"--";"Válvulas de alivio,Válvulas de alivio de GLP ,Válvulas de alivio de presión en recipientes a presión,Válvulas de seguridad";"--";"<p>API-RP576 (2017). AMERICAN PETROLEUM INSTITUTE. Inspection of Pressure-relieving Devices. </p><p>ASME VIII (2021). Boiler and Pressure Vessel Code DIV. 1 </p><p>UL 132 (2021) STANDARD FOR SAFETY SAFETY RELIEF VALVES FOR ANHYDROUS AMMONIA LP-GAS.</p><p>NTE INEN-2261 (2015). Ed. 1. Tanques para gases a baja presión. requisitos e inspección.</p>";"A";"--"
"107";"7";"Industrial/Inspección técnica de recipientes a presión nuevos";"--";"--";"Recipientes a presión";"--";"<p>NTE INEN-2261 (2015). Ed. 1. Tanques para gases a baja presión. requisitos e inspección. </p><p>ASME VIII-Div1 (2021). Rules for construction of pressure vessels.</p>";"A";"--"
"107";"7";"Industrial/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método de distancia electro óptica método externo.";"--";"--";"Tanques cilíndricos verticales";"--";"<p>ISO-7507-5 (2000). Petroleum and liquid petroleum products -- Calibration of vertical cylindrical tanks - Part 5: External electro-optical distance-ranging method. </p><p>API-MPMS-2.2G (R2019). Ed. 1. Calibration of Upright Cylindrical Tanks Using the Total Station Reference Line Method</p>";"A";"--"
"107";"7";"Industrial/Inspección de pruebas de presión en tuberías (hidrostáticas, neumáticas, hidroneumáticas)";"--";"--";"Tuberías de proceso,Tuberías de transporte y distribución de gas";"--";"<p>ASME B31.3 (2020). Process Piping </p><p>ASME B31.8 (2020). Gas transmission and distribution piping systems. </p><p>EPA 510-B-19-005 (2019). Standard Test ProceduresFor Evaluating Release DetectionMethods: Pipeline release</p>";"A";"--"
"107";"7";"Industrial/Inspección de ensayos no destructivos por líquidos penetrantes";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"<p>ASME V Art. 6 (2021). Liquid Penetrant Examination </p><p>ASTM-E165 (2018). Standard Practice for Liquid Penetrant Testing for General Industry.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección técnica de recipientes a presión nuevos";"--";"--";"Recipientes a presión";"--";"<p>NTE INEN-2261 (2015). Ed. 1. Tanques para gases a baja presión. requisitos e inspección. </p><p>ASME VIII-Div1 (2021). Rules for construction of pressure vessels.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método de distancia electro óptica método externo.";"--";"--";"Tanques cilíndricos verticales";"--";"<p>ISO-7507-5 (2000). Petroleum and liquid petroleum products -- Calibration of vertical cylindrical tanks - Part 5: External electro-optical distance-ranging method. </p><p>API-MPMS-2.2G (R2019). Ed. 1. Calibration of Upright Cylindrical Tanks Using the Total Station Reference Line Method</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de ensayos no destructivos por líquidos penetrantes";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"<p>ASME V Art. 6 (2021). Liquid Penetrant Examination </p><p>ASTM-E165 (2018). Standard Practice for Liquid Penetrant Testing for General Industry.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de verticalidad, redondez y asentamiento  de tanques de almacenamiento";"--";"--";"Tanques cilíndricos verticales";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction. </p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de pruebas de presión en tanques atmosféricos horizontales";"--";"--";"Tanques atmosféricos horizontales";"--";"<p>Methods. EPA 510-B-19-003. (2019). Standard Test Procedures For Evaluating Release Detection Methods: Volumetric and Nonvolumetric Tank Tightness Testing.</p><p>API 1615. (R2020) Ed. 6. Installation of Underground Hazardous Substances or Petroleum Storage Systems.</p><p>UL - 58. (2018). Steel Underground Tanks for Flammable and Combustible Liquids.</p><p>UL-142. (2019) Steel Aboveground Tanks for Flammable and Combustible Liquids.</p>";"A";"--"
"107";"7";"Industrial/Inspección de pruebas de presión en tanques atmosféricos horizontales";"--";"--";"Tanques atmosféricos horizontales";"--";"<p>Methods. EPA 510-B-19-003. (2019). Standard Test Procedures For Evaluating Release Detection Methods: Volumetric and Nonvolumetric Tank Tightness Testing.</p><p>API 1615. (R2020) Ed. 6. Installation of Underground Hazardous Substances or Petroleum Storage Systems.</p><p>UL-58. (2018). Steel Underground Tanks for Flammable and Combustible Liquids.</p><p>UL-142. (2019) Steel Aboveground Tanks for Flammable and Combustible Liquids.</p>";"A";"--"
"107";"7";"Industrial/Inspección mediante pruebas para la detección de fuga en tanques atmosféricos verticales y horizontales (neumática, vacío, diésel)";"--";"--";"Tanques atmosféricos verticales y horizontales cuerpo techo,Tanques atmosféricos verticales y horizontales refuerzos,Tanques atmosféricos verticales y horizontales piso cuerpo";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction.</p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección mediante pruebas para la detección de fuga en tanques atmosféricos verticales y horizontales (neumática, vacío, diésel)";"--";"--";"Tanques atmosféricos verticales y horizontales cuerpo techo,Tanques atmosféricos verticales y horizontales refuerzos,Tanques atmosféricos verticales y horizontales piso cuerpo";"--";"<p>API 653 (2014). Ed. 5. Tank Inspection, Repair, Alteration, and Reconstruction</p><p>API 650 (2020). Ed 13. Welded Steel Tanks for Oil Storage.</p>";"A";"--"
"76";"7";"Automotríz/Inspección Técnica Vehicular";"--";"--";"Vehículos automotores";"--";"Resolución No. 025-ANT-DIR-2019. ""Reglamento de revisión técnica vehicular""
Instructivo de Revisión Técnica Vehicular 2018 (MEP-DRTV-0002-2018)
NTE INEN 2349:2003 REVISIÓN TÉCNICA VEHICULAR";"A";"--"
"44";"7";"Hidrocarburos/Inspección de medidores de desplazamiento positivo y turbinas por el método master meter";"--";"--";"Medidores de desplazamiento positivo y turbinas";"--";"<p class=""ql-align-center"">API MPMS Chapter 4.5, 2016, Ed.4: Master Meter Provers.</p><p class=""ql-align-center"">API MPMS Chapter 4.7, 2009, Ed.3: Field Standard Test Measures.</p><p class=""ql-align-center"">API MPMS Chapter 4.8, 2021, Ed.3: Operation of Proving Systems.</p><p class=""ql-align-center"">API MPMS Chapter 7 Temperature determination.</p><p class=""ql-align-center"">API MPMS Chapter 5.2, 2005, (R2020), Ed.3: Measurement of Liquid Hydrocarbons by Displacement Meters.</p><p class=""ql-align-center"">API MPMS Chapter 9.3, 2012, (R2017), Ed.3: Standard Test Method for Density, Relative Density, and API Gravity of Crude Petroleum and Liquid Petroleum Products by Thermohydrometer Method.</p><p class=""ql-align-center"">API MPMS Chapter 11.1, 2004, (R2012): Temperature and Pressure Volume Correction Factors for Generalized Crude Oils, Refined Products, and Lubricating Oils.</p><p class=""ql-align-center"">API MPMS Chapter 12.2, 2021, Ed.2: Calculation of Petroleum Quantities Using Dynamic Measurement Methods and Volumetric Correction Factors.</p><p class=""ql-align-center"">API MPMS Chapter 13.2, 2018, Ed.2: Methods of Evaluating Meter Proving Data.</p><p class=""ql-align-center"">OIML R 117-1, 2019: Dynamic measuring systems for liquids other than water.</p><p class=""ql-align-center"">API MPMS Chapter 21.2, 1998, (R2016), Ed.1: Electronic Liquid Volume Measurement Using Positive Displacement and Turbine Meters.</p><p class=""ql-align-center"">API MPMS Chapter 22.1, 2015, Ed.2: General Guidelines for Developing Testing Protocols for Devices Used in the Measurement of Hydrocarbon Fluids.</p><p class=""ql-align-center"">(*).</p>";"C";"--"
"44";"7";"Hidrocarburos/Inspección de medidores de desplazamiento positivo, turbinas y coriolis por el método pipe prover";"--";"--";"Medidores de desplazamiento positivo, turbinas y coriolis";"--";"<p class=""ql-align-center"">American Petroleum Institute (API) Manual de Estándares de Medición de Petróleo (MPMS).</p><p class=""ql-align-center"">Capítulo 4.2 Pipe Prover.</p><p class=""ql-align-center"">Capítulo 4.7 Field Standard Test Measures.</p><p class=""ql-align-center"">Capítulo 4.8 Operation of Proving Systems.</p><p class=""ql-align-center"">Capítulo 5.2 Measurement of Liquid Hydrocarbons by Displacement Meters.</p><p class=""ql-align-center"">Capítulo 6.7 Metering Viscous Hydrocarbons.</p><p class=""ql-align-center"">Capítulo 7 Temperature determination.</p><p class=""ql-align-center"">Capítulo 9.3 Standard Test for Method Density, Relative density, and API Gravity of Crude Petroleum and Liquid Petroleum Products by Thermo hydrometer Method.</p><p class=""ql-align-center"">Capítulo 11.1 Volume correction Factors.</p><p class=""ql-align-center"">Capítulo 12.2 Calculation of Liquid Petroleum Quantities measured by turbine or displacement meters.</p><p class=""ql-align-center"">Capítulo 13.2 Statistical Methods of Evaluating Meter Proving Data.</p><p class=""ql-align-center"">Organismo Internacional de Metrología Legal (OIML) R 117-1 Dynamic measuring systems for liquids other than water.</p><p class=""ql-align-center"">Capítulo 21.2 Medida Electrónica de Volumen líquido usando medidores de desplazamiento positivo y medidores tipo turbina.</p><p class=""ql-align-center"">Capítulo 22.1 Directrices generales para el desarrollo de Protocolos de prueba para dispositivos usados En la medición de fluidos de hidrocarburos.</p><p class=""ql-align-center"">(*)</p>";"C";"--"
"44";"7";"Hidrocarburos/Inspección de medidores de desplazamiento positivo y turbinas por el método tank prover ";"--";"--";"Medidores de desplazamiento positivo y turbinas";"--";"<p class=""ql-align-center"">API MPMS Chapter 4.4,1998, (R2020), Ed.2: Tank Provers.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 4.7, 2009, Ed.3: Field Standard Test Measures.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 4.8, 2021, Ed.3: Operation of Proving Systems.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 5.2, 2005, (R2020), Ed.3: Measurement of Liquid Hydrocarbons by Displacement Meters.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 5.3, 2005, (R2014), Ed.5: Measurement of Liquid Hydrocarbons by Turbine Meters.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 7 Temperature determination.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 9.3, 2012, (R2017), Ed.3: Standard Test Method for Density, Relative density, and API Gravity of Crude Petroleum and Liquid Petroleum Products by Thermo hydrometer Method.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 11.1, 2004, (R2012): Temperature and Pressure Volume Correction Factors for Generalized Crude Oils, Refined Products, and Lubricating Oils.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 12.2, 2021, Ed. 2: Calculation of Petroleum Quantities UsingDynamic Measurement Methods and Volumetric Correction Factors.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 13.2, 2018, Ed.2: Methods of Evaluating Meter Proving Data.</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">API MPMS Chapter 22.1, 2015, Ed. 2: General Guidelines for Developing Testing Protocols for Devices Used in the Measurement of Hydrocarbon Fluids</p><p class=""ql-align-center""><br></p><p class=""ql-align-center"">(*)</p>";"C";"--"
"66";"7";"Automotríz/Inspección de elementos mínimos de seguridad en vehículos automotores";"--";"--";"Elementos de seguridad en vehículos automotores";"--";"<p>RTE INEN 034: 2016 (4R), (M1,M2,M3,M4): Elementos de seguridad en vehículos automotores</p>";"C";"--"
"66";"7";"Automotríz/Inspección de Bus Urbano (BUS y MINIBUS)";"--";"--";"Bus Urbano (BUS Y MINIBUS)";"--";"<p>RTE INEN 038 Vehículos de Transporte Público de Pasajeros Intracantonal.</p><p>(*)</p>";"C";"--"
"66";"7";"Automotríz/Inspección de vehículos de transporte escolar e institucional de pasajeros";"--";"--";"Vehículos de transporte escolar e institucional de pasajeros";"--";"<p>RTE INEN 041 Vehículos de transporte comercial de pasajeros escolar e institucional.</p><p>(*)</p>";"C";"--"
"66";"7";"Automotríz/Inspección de emisiones contaminantes de fuentes móviles terrestres";"--";"--";"Emisiones contaminantes que provienen de fuentes móviles terrestres";"--";"<p>RTE INEN 017: 2008 (M1 y M2), Control de emisiones contaminantes de fuentes móviles terrestres.</p>";"C";"--"
"66";"7";"Automotríz/Inspección de elementos mínimos de seguridad en vehículos automotores, niveles de emisión de gases contaminantes y nivel sonoro admisible en motocicletas y tricimotos";"--";"--";"Motocicletas y tricimotos";"--";"<p>RTE INEN 136: 2017, (1R) Motocicletas.</p><p>RTE INEN 048: 2017, (2R) Vehículos automotores de tres ruedas para transporte de pasajeros y transporte de carga.&nbsp;</p>";"C";"--"
"66";"7";"Automotríz/Inspección de vehículos de transporte público de pasajeros intrarregional, interprovincial e Intraprovincial";"--";"--";"Vehículos de transporte intrarregional, interprovincial e intraprovincial de pasajeros";"--";"<p>RTE INEN 043 Vehículos de transporte público de pasajeros intrarregional, interprovincial e intraprovincial.</p><p>(*)</p>";"C";"--"
"85";"7";"Agroalimentario/Inspección de plantas procesadores de alimentos Buenas Prácticas de Manufactura";"--";"--";"Plantas procesadoras de alimentos";"--";"<p>Técnica Sanitaria Unificada para Alimentos Procesados Plantas Procesadoras de Alimentos, Establecimientos de distribución, Comercialización, Transporte de alimentos y Establecimiento s de Alimentación colectiva, ARCSA DE 067-2015- GGG. (Registro Oficial 2016-02-01) Capítulo II de las Buenas Prácticas de Manufactura.&nbsp;</p><p><br></p><p>Norma Técnica Sanitaria Sustitutiva para alimentos</p><p>procesados, plantas procesadoras, Establecimientos de Distribución, Comercialización y Transporte De Alimentos Procesados y de Alimentación Colectiva ARCSA-DE-2022-016-AKRGD, ANEXO 1 Requisitos de Buenas Prácticas de Manufactura. </p><p>(2022-12-29)</p><p><br></p>";"A";"--"
"75";"7";"Industrial/Inspección  de Rotulado  de Productos Alimenticios Procesados, Envasados  y Empaquetados";"--";"--";"Alimentos procesados";"--";"<p>Reglamento técnico Ecuatoriano RTE INEN 022.2014 (2R). Rotulado&nbsp;&nbsp;de productos alimenticios procesados, envasados y empaquetados.</p>";"C";"--"
"75";"7";"Sanitario/Inspección para la certificación en buenas prácticas de almacenamiento, distribución y/o transporte";"--";"--";"Establecimientos farmacéuticos,Establecimientos de dispositivos médicos y/o reactivos bioquímicos de diagnóstico in vitro para uso humano";"--";"<p>NORMATIVA TÉCNICA SANITARIA DE BUENAS PRÁCTICAS DE ALMACENAMIENTO, DISTRIBUCIÓN Y/O TRANSPORTE PARA ESTABLECIMIENTOS FARMACÉUTICOS Y ESTABLECIMIENTOS DE DISPOSITIVOS MÉDICOS DE USO HUMANO RESOLUCIÓN ARCSA-DE-002-2020- LDCL de fecha 21 de febrero de 2020 publicada en Registro Oficial N° 455 el 19 de marzo de 2020</p><p>Reformatoria: RESOLUCION ARCSA DE -2021-010-AKRG. Registro Oficial N° 544 del 23 de septiembre de 2021</p><p><br></p>";"C";"--"
"75";"7";"Agroalimentario/Inspección de Establecimientos de alimentación colectiva";"--";"--";"Establecimientos de alimentación colectiva";"--";"<p>Resolución ARCSA-DE-067-2015 GGG:2015 (Registro Oficial 2016-02-01) Norma Técnica Sanitaria Unificada para alimentos procesados, plantas procesadoras de alimentos, establecimientos de distribución, comercialización, transporte de alimentos y establecimientos de alimentación colectiva. Título III, Establecimientos de alimentación colectiva.</p><p><br></p><p>Norma Técnica Sanitaria Sustitutiva para alimentos procesados, plantas procesadoras, Establecimientos de Distribución, Comercialización y Transporte De Alimentos Procesados y de Alimentación Colectiva ARCSA-DE-2022-016-AKRGD. ANEXO 2, Buenas Prácticas para Establecimientos de Alimentación Colectiva (Condiciones Sanitarias) (2022-12-29)</p><p>(**)</p>";"C";"--"
"75";"7";"Agroalimentario/Inspección de plantas procesadores de alimentos Buenas Prácticas de Manufactura";"--";"--";"Plantas procesadoras de alimentos";"--";"<p>Normativa Técnica Sanitaria Unificada para Alimentos Procesados Plantas Procesadoras de Alimentos, Establecimientos de distribución, Comercialización, Transporte de alimentos y Establecimientos de Alimentación colectiva, ARCSA-DE-067-2015-GGG. Capítulo II de las Buenas Prácticas de Manufactura.</p><p><br></p><p>Norma Técnica Sanitaria Sustitutiva para alimentos procesados, plantas procesadoras, Establecimientos de Distribución, Comercialización y Transporte De Alimentos Procesados y de Alimentación Colectiva ARCSA-DE 2022-016-AKRGD ANEXO 1.</p>";"C";"--"
"178";"7";"Hidrocarburos/Inspección de ensayos no destructivos por ultrasonido medición de espesores";"--";"--";"Recipientes";"--";"<p>ASTM E 797 Standard Practice</p><p>for Measuring Thickness by</p><p>Manual Ultrasonic Pulse-Eco</p><p>Contact Method.</p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección Volumétrica Geométrica de tanques horizontales por el método manual";"--";"--";"Recipientes";"--";"<p>American&nbsp;Petroleum&nbsp;Institute (API)</p><p>Manual of Petroleum Measurement</p><p>Standards Chapter 2.2E. Petroleum and Liquid Petroleum Products – Calibration of Horizontal Cylindrical Tanks. Part 1: Manual Methods&nbsp;</p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método manual";"--";"--";"Recipientes";"--";"<p>American Petroleum Institute (API)</p><p>Manual of Petroleum Measurement Standards</p><p>Chapter 2 Tank Calibration. Section 2A – Measurement and calibration of Upright Cylindrical Tanks by the Manual Tanks Strapping Method&nbsp;</p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método de línea de referencia óptica";"--";"--";"Recipientes";"--";"<p>American Petroleum Institute (API)</p><p>Manual of Petroleum Measurement Standards</p><p>Chapter 2 – Tank calibration. Section 2.2G - Calibration of Upright Cylindrical Tanks Using the Total Station Reference Line Method&nbsp;</p><p><br></p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección volumétrica líquida de auto tanques (unidad fija)";"--";"--";"Recipientes";"--";"<p>American Petroleum Institute (API) Standard 2554 – Measurements and Calibration of Tank Cars. </p><p>Standard 2555 – Method for Liquid Calibration of Tanks&nbsp;</p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección de verticalidad, redondez y asentamiento  de tanques de almacenamiento";"--";"--";"Tanques verticales";"--";"<p>API STD 650&nbsp;Welded Tanks for Oil Storage</p><p>API STD 653 Tank Inspection, Repair,&nbsp; Alteration, and Reconstruction (Anexo B)</p><p>API MPMS CHAPTER 2.2G Calibration of Upright Cylindrical Tanks Using the Total Station Reference Line Method&nbsp;</p><p>(*)</p>";"A";"--"
"178";"7";"Hidrocarburos/Inspección de seguridad de autotanques y vaccums";"--";"--";"Recipientes";"--";"<p>Norma Técnica&nbsp;Ecuatoriana NTE INEN 2266 Transporte, Almacenamiento y Manejo de Materiales Peligrosos.</p><p>Norma Técnica Ecuatoriana NTE-INEN 2288 Productos Químicos Industriales Peligrosos. Etiquetado de precaución&nbsp;</p><p>(*)</p>";"A";"--"
