"idOrganizacion";"IdEnsayo";"EsyLugarEjecucion";"EsyTipoEnsayo";"EsyEnsayo";"EsyMuestra";"EsyTecnica";"EsyIntervaloMedicion";"EsyMetodo";"EsyVigenteApartirDe"
"117";"12";"--";"En laboratorio";"Composición química :  Niquel (Ni)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0096 a 0,4349) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Cromo (Cr)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,009 a 0,5056) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Estaño (Sn)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,006 a 0,0564) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Molibdeno (Mo)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0206 a 0,495) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Vanadio (V)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0024 a 0,496) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Boro (B)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0024 a 0,011) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Manganeso (Mn)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,13 a 1,61) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Silicio (Si)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,02 a 0,947) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Azúfre (S)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0078 a 0,058) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Cobre (Cu)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0074 a 0,657) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Niquel (Ni)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0096 a 0,4349) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN- ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Cromo (Cr)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,009 a 0,5056) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Estaño (Sn)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,006 a 0,0564) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Vanadio (V)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0024 a 0,496) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Boro (B)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0024 a 0,011) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química : Molibdeno (Mo)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0206 a 0,495) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Carbono (C)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,044 a 0,935) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Fósforo (P)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,012 a 0,0482) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN ASTM E415</p>";"--"
"147";"12";"--";"In situ";"Ruido laboral";"--";"Nivel de presión Sonora";"<p>(40 A 130) dB</p>";"PAT-03/NTE INEN ISO 9612:2014";"--"
"147";"12";"--";"In situ";"Luminosidad";"--";"Celda Fotolumínica";"<p>(20 a 2000) Lux</p>";"PAT-02/NOM-025-STPS-2008";"--"
"147";"12";"--";"In situ";"Ruido";"--";"Nivel de presión Sonora";"<p>(40 a 130) dB</p>";"<p>PAT-04</p>/<p>ISO 1996-2: 2018 ISO 1996-1: 2017</p>";"--"
"147";"12";"--";"In situ";"Temperatura para estrés térmico: Temperatura de bulbo humedo Temperatura de bulbo seco Temperatura de globo";"--";"Termometría (Temperatura bulbo húmedo, bulbo seco y de globo)";"<p>Temperatura Bulbo seco (20,3 a 30) °C</p><p>Temperatura de globo: (20,2 a 30,1) °C</p><p>Temperatura de bulbo húmedo: (14,5 a 20,8)°C</p>";"<p>PAT-05</p>/<p>ISO 7243:2017</p>";"--"
"147";"12";"--";"In situ";"Ruido";"--";"Nivel de presión Sonora";"<p>(40 a 130) dB</p>";"<p>PAT-01</p>/<p>ISO 1996-2: 2018 ISO 1996-1: 2017.</p><p>Acuerdo Ministerial 097A Anexo 5 (TULSMA)</p>";"--"
"194";"12";"--";"En laboratorio";"Demanda química de óxigeno (DQO)";"--";"Colorimetría";"<p>(63 a 4400) mg/L</p>";"<p>ME-32</p>/<p>SM 5220D</p>";"--"
"194";"12";"--";"En laboratorio";"Demanda bioquímica de oxígeno (DBO5)";"--";"Volumetría";"<p>(0,2 a 2000) mg/L</p>";"<p>ME-13</p>/<p>SM 5210B /SM4500-O C</p>";"--"
"194";"12";"--";"En laboratorio";"Sólidos disueltos totales";"--";"Gravimetría";"<p>(63 a 4440) mg/L</p>";"<p>ME-01</p>/<p>SM2540C</p>";"--"
"194";"12";"--";"En laboratorio";"Conductividad eléctrica";"--";"Electrometría";"<p>(84 a 5352) uS/cm</p>";"<p>ME-31</p>/<p>SM2510 B</p>";"--"
"194";"12";"--";"En laboratorio";"Sólidos sedimentables";"--";"Volumetría";"<p>(0,2 a 126) ml/ L</p>";"<p>ME-06</p>/<p>SM 2540F</p>";"--"
"194";"12";"--";"En laboratorio";"Sólidos totales suspendidos";"--";"Gravimetría";"<p>(12 a 3008) mg/l</p>";"<p>ME-02</p>/<p>SM 2540D</p>";"--"
"194";"12";"--";"En laboratorio";"Potencial de hidrógeno  (pH)";"--";"Potenciometría";"<p>(4 a 10)  unidades pH</p>";"<p>ME-28</p>/<p>SM 4500 - H+ B</p>";"--"
"194";"12";"--";"En laboratorio";"Sólidos totales";"--";"Gravimetría";"<p>(25 a 4661) mg/l</p>";"<p>ME-03</p>/<p>SM2540B</p>";"--"
"194";"12";"--";"En laboratorio";"Humedad";"--";"Gravimetría";"<p>(3 a 12) %</p>";"<p>ME-36</p>/<p>ISO 10251:2006</p>";"--"
"661";"12";"--";"In situ";"Determinación de integridad de filtros";"--";"Determinación de integridad de filtros";"<p>(0,000 a 100) %</p>";"<p>PEV.EL.02</p>/NORMA ISO 14644-3, ítem B.6.2.6";"--"
"661";"12";"--";"In situ";"Determinación de concentración y tamaño de partículas";"--";"Determinación de concentración y tamaño de partículas";"<p>(0,3 µm a 10 µm)</p>";"<p>PEV.EL.02</p>/NORMA ISO 14644-1, Anexo B y C";"--"
"661";"12";"--";"In situ";"Visualización de dirección del patrón de flujo de aire";"--";"Visualización de dirección del patrón de flujo de aire";"<p>Presencia / Ausencia</p>";"<p>PEV.EL.02</p>/NORMA ISO 14644-3, Ítem 4.2.5, B 7.3.2";"--"
"661";"12";"--";"In situ";"Determinación de presión diferencial";"--";"Determinación de presión diferencial";"<p>(0,02 – 14930) Pa</p>";"<p>PEV.EL.02</p>/NORMA ISO 14644-3, Ítem B. 5.2";"--"
"661";"12";"--";"In situ";"Perfil térmico";"--";"Rango de medida";"<p>(-20 a 70) °C</p><p>(0 a 95) % RH</p>";"<p>PEV.EL.02</p>/NORMA ISO 14644-3, Ítem B 8.2.1 B 9.2";"--"
"661";"12";"--";"In situ";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"--";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"<p>(-5 a 200 )ºC</p>";"<p>PEC.EL.35</p>/DKD-R 5-7:2009
Método A (9 termopares)";"--"
"661";"12";"--";"In situ";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"--";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"<p>(-5 a 200 )ºC</p>";"<p>PEC.EL.08</p>/DKD-R 5-7:2009
Método C (1 termopar)";"--"
"661";"12";"--";"In situ";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"--";"Baños controladores de Temperatura,Termoreactores,Congeladores y refrigeradoras";"<p>(-25 a 300) °C, (40 a 160) °C, (-25 a 15) °C.</p>";"<p>PEC.EL.08</p>/DKD-R 5-7:2009
Método C (1 termopar)";"--"
"661";"12";"--";"In situ";"Caracterización de autoclaves, Comparación de
Temperaturas – Ensayo de Estabilidad y uniformidad de temperatura en cámara vacía y llena";"--";"Caracterización de autoclaves, Comparación de Temperaturas – Ensayo de Estabilidad y uniformidad de temperatura en cámara vacía y llena";"<p>(116&nbsp;a 121) ºC</p>";"<p>PEV.EL.01</p>/Farmacopea USP 2008 volumen 1 <1211> Esterilización y Garantía de Esterilidad de artículos farmacopólicos ítems 1,2 y 3.";"--"
"661";"12";"--";"In situ";"Particulas sedimentables";"--";"Gravimetría";"<p>(0,0011–2,7365) mg /cm2 *mes</p>";"<p>PEE.EL.13</p>/Método 502, Methods of Air Sampling and Analysis 3rd. Edition 1988";"--"
"661";"12";"--";"In situ";"Material particulado (PM 2,5)";"--";"Gravimetría";"<p>2 µg /m3– 200 µg/m3</p>";"<p>PEE.EL.04</p>/EPA CFR 40 PT 50 Apéndice J, L, M
Designación Nro. RFPS-0498-116";"--"
"661";"12";"--";"In situ";"Material particulado (PM 10)";"--";"Gravimetría";"<p>15 µg /m3- 300 µg /m3</p>";"<p>PEE.EL.04</p>/EPA CFR 40 PT 50 Apéndice J, L, M
Designación Nro. RFPS-1298-125.";"--"
"661";"12";"--";"In situ";"Determinación de dióxido de
nitrógeno NO2";"--";"Captadores pasivos
espectrofotometría UV VIS";"<p>(0,60 a 525,03) ug/m3&nbsp;</p>";"<p>PEE.EL.55</p>/EN 13528
Radiello";"--"
"661";"12";"--";"In situ";"Determinación de dióxido de
azufre SO2";"--";"Captadores pasivos cromatografía ionica";"<p>(10,78 a 61,87) ug/m3</p>";"<p>EE.EL.57</p>/UNE-EN 13528
Radiello";"--"
"661";"12";"--";"In situ";"Determinación de ozono O3";"--";"Captadores pasivos
espectrofotometría UV VIS";"<p>(0,37 a 604,11) ug/m3</p>";"<p>PEE.EL.060</p>/UNE-EN 13528
Radiello";"--"
"661";"12";"--";"In situ";"Temperatura para estrés térmico: Temperatura de bulbo humedo Temperatura de bulbo seco Temperatura de globo";"--";"Termometría";"<p>Temperatura bulbo seco:</p><p>(20,2 a 45,1) °C</p><p>Temperatura bulbo húmedo:</p><p>(20,03 a 45,2) °C</p><p>Temperatura de globo:</p><p>(20,02 a 45,1) °C&nbsp;</p>";"<p>PEE.EL.09</p>/UNE EN ISO 7243-2017";"--"
"661";"12";"--";"In situ";"Temperaturas para confort térmico";"--";"Temperaturas para confort térmico";"<p>Temperatura bulbo seco:</p><p>(20,2 a 45,1) °C</p><p>Temperatura bulbo húmedo:</p><p>(20,03 a 45,2) °C</p><p>Temperatura de globo:</p><p>(20,02 a 45,1) °C</p>";"<p>PEE.EL.15</p>/UNE EN ISO 7726-1998
UNE EN ISO 7730-2005";"--"
"661";"12";"--";"In situ";"Luminosidad";"--";"Luminosidad";"<p>199 – 2000 lx</p>";"<p>PEE.EL.10</p>/NOM -025
STPS – 2008";"--"
"661";"12";"--";"In situ";"Ruido";"--";"Nivel de presión Sonora";"<p>(30 – 130)&nbsp;&nbsp;dB</p>";"<p>PEE.EL.05</p>/ISO 9612. 2009";"--"
"661";"12";"--";"In situ";"Dosimetría de ruido";"--";"Nivel de presión Sonora";"<p>(28 – 130)&nbsp;&nbsp;dB</p>";"<p>PEE.EL.05</p>/ISO 9612. 2009";"--"
"661";"12";"--";"In situ";"Ruido";"--";"Nivel de presión Sonora";"<p><span style=""color: black;"">(30 – 130)&nbsp;&nbsp;dB&nbsp;</span></p>";"<p>	<span style=""color: black;"">PEE.EL.01</span></p>/ISO 1996-1:2016
ISO 1996-2:2017";"--"
"661";"12";"--";"In situ";"Partículas totales o Material Particulado";"--";"Gravimetría";"<p><span style=""color: black;"">(2 – 660) mg/Nm3</span></p>";"<p><span style=""color: black;"">PEE.EL.02</span></p>/EPA CFR 40 PT 60 Método 5, 2002";"--"
"661";"12";"--";"In situ";"Gases contaminantes";"--";"Celdas electroquímicas";"<p><span style=""color: black;"">Monóxido de Carbono (CO)</span></p><p><span style=""color: black;"">(40,1 a 1005) ppm</span></p><p><span style=""color: black;"">Monóxido de Nitrógeno (NO)</span></p><p><span style=""color: black;"">(40,3 a 1006) ppm</span></p><p><span style=""color: black;"">&nbsp;Dióxido de Nitrógeno (NO2)</span></p><p><span style=""color: black;"">&nbsp;&nbsp;(100 a 505) ppm</span></p><p><span style=""color: black;"">Dióxido de Azufre (SO2)</span></p><p><span style=""color: black;"">(40,2 a 1002)</span></p><p><span style=""color: black;"">Oxigeno (O2)</span></p><p><span style=""color: black;"">(0,00 a 20,9) %</span></p>";"<p><span style=""color: black;"">PEE.EL.03</span></p>/EPA CTM 30, 1997";"--"
"661";"12";"--";"In situ";"pH, Electrometría";"--";"Electrometría";"<p><span style=""color: black;"">(2,01 a 12,50) unidades de pH</span></p>";"<p><span style=""color: black;"">PEE.EL.021</span></p>/Standard Method
Ed. 23 -2017, 4500 HB";"--"
"661";"12";"--";"In situ";"Temperatura";"--";"Temperatura";"<p><span style=""color: black;"">(10 – 90) °C</span></p>";"<p><span style=""color: black;"">PEE.EL.022</span></p>/Standard Method
Ed. 23 – 2017, 2550 B";"--"
"661";"12";"--";"In situ";"Conductividad";"--";"Electrometría";"<p>(9,01 a 200000) uS/cm</p>";"<p>PEE.EL.023</p>/HACH Method 8160";"--"
"661";"12";"--";"In situ";"Perfil térmico";"--";"Rango de medida";"<p class=""ql-align-justify""><span style=""color: black;"">(2 °C a 35°C)</span></p><p><span style=""color: black;"">(45% a 75%) RH</span></p>";"<p><span style=""color: black;"">PEV.EL.04</span></p>/USP 39 NF 34 Volumen 1 2016 [1079] Buenas Prácticas de almacenamiento";"--"
"661";"12";"--";"In situ";"Perfil Termal";"--";"Perfil Termal";"<p><span style=""color: black;"">(2 a 35) ºC</span></p><p><span style=""color: black;"">hasta 80% RH</span></p>";"<p><span style=""color: black;"">PEV.EL.04&nbsp;</span></p>/USP 39 NF 34 VOLUMEN 1 2016 [1079] Buenas Prácticas de almacenamiento";"--"
"661";"12";"--";"In situ";"Partículas totales";"--";"Gravimetría";"<p><span style=""color: black;"">(10 mg/ m</span><sup style=""color: black;"">3</sup><span style=""color: black;""> - 100 mg/ m</span><sup style=""color: black;"">3</sup><span style=""color: black;"">)</span></p>";"<p><span style=""color: black;"">PEE.EL.017</span></p>/NIOSH 0500:1994";"--"
"661";"12";"--";"En laboratorio";"Sólidos totales disueltos";"--";"Método Gravimétrico";"<p><span style=""color: black;"">(19&nbsp;a 90016 )mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.029</span></p>/Method Hach 8163
SM 2540 C";"--"
"661";"12";"--";"En laboratorio";"Sólidos totales suspendidos";"--";"Método Gravimétrico";"<p><span style=""color: rgb(0, 0, 0);"">(11 a 50009)mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.027</span></p>/SM 2540 B
Method Hach 8158";"--"
"661";"12";"--";"En laboratorio";"Oxigeno disuelto";"--";"Electrometría";"<p><span style=""color: black;"">(0,01 a 9,24) mg/L</span></p><p><span style=""color: black;"">(0,2 a 103,6) %</span></p>";"<p><span style=""color: black;"">PEE.EL.025&nbsp;</span></p>/Standard Methods, Ed.23. 2017 
4500-O G";"--"
"661";"12";"--";"En laboratorio";"Sólidos totales";"--";"Gravimetría";"<p><span style=""color: black;"">(7 a 50 011) mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.028&nbsp;</span></p>/Standard Methods, Ed.23. 2017 , 2540 B";"--"
"661";"12";"--";"En laboratorio";"Alcalinidad";"--";"Volumetría";"<p><span style=""color: rgb(0, 0, 0);"">(26 a 355,4) mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.032&nbsp;</span></p>/Standard Methods, Ed.23. 2017,  2320 B HACH 8203";"--"
"661";"12";"--";"En laboratorio";"Dureza";"--";"Volumetría";"<p>&nbsp;(4 a 2 509) mg/L</p>";"<p>PEE.EL.031&nbsp;</p>/Standard Methods, Ed.23. 2017, 2340 C HACH 8226";"--"
"661";"12";"--";"En laboratorio";"Turbidez";"--";"Nefelometría";"<p>(0,7 a 753) NTU</p>";"<p>PEE.EL.024&nbsp;</p>/Standard Methods, Ed.23. 2017, 2130 B";"--"
"661";"12";"--";"En laboratorio";"Sulfatos";"--";"Turbidimetría";"<p><span style=""color: black;"">(2 a 182) mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.038&nbsp;</span></p>/Standard Methods, Ed.23. 2017, 4500- SO4 2- HACH 8051";"--"
"661";"12";"--";"En laboratorio";"Demanda química de óxigeno (DQO) reflujo cerrado";"--";"Espectrofotometría UV-Vis";"<p><span style=""color: black;"">(4 a 15 015) mg/L</span></p>";"<p><span style=""color: black;"">PEE.EL.026</span></p>/Standard Methods, Ed.23. 2017 5220 D HACH 8000";"--"
"661";"12";"--";"En laboratorio";"Color aparente y verdadero";"--";"Espectrofotometría UV-Vis";"<p><span style=""color: black;"">(6 a 460) Unidades Pt-Co</span></p>";"<p>	<span style=""color: black;"">PEE.EL.033</span></p>/Standard Methods, Ed. 23.2017
 2120C
HACH 8025";"--"
"661";"12";"--";"En laboratorio";"Determinación de Nitrógeno de Nitritos";"--";"Diazotación por Espectrometría UV-Vis";"<p><span style=""color: black;"">(0,007 a 9,945) mg/l</span></p>";"<p>	<span style=""color: black;"">PEE.EL.052</span></p>/Standard Methods, Ed. 23.2017 
4500NO2 -B
HACH 8507";"--"
"661";"12";"--";"En laboratorio";"Cromo hexavalente";"--";"Espectrofotometría UV-Vis";"<p><span style=""color: black;"">(0,006 a 2,018) mg/l</span></p>";"<p>	<span style=""color: black;"">PEE.EL.037</span></p>/Standard Methods, Ed. 23.2017 
3500 Cr -B
HACH 8023";"--"
"661";"12";"--";"En laboratorio";"Fósforo total, Ácido ascórbico";"--";"Espectrofotometría UV-Vis";"<p><span style=""color: black;"">(0,27 a 60) mg/l</span></p>";"<p>	<span style=""color: black;"">PEE.EL.045</span></p>/Standard Methods, Ed. 23.2017 
4500 P E HACH 10209";"--"
"661";"12";"--";"In situ";"Gases contaminantes";"--";"Celdas Electroquímicas";"<p class=""ql-align-justify""><span style=""color: black;"">Monóxido de carbono (CO), (40,1 A 1005) ppm</span></p><p class=""ql-align-justify""><span style=""color: black;"">&nbsp;</span></p><p class=""ql-align-justify""><span style=""color: black;"">Monóxido de nitrógeno (NO) (40,3 A 1006) ppm</span></p><p class=""ql-align-justify""><span style=""color: black;"">&nbsp;</span></p><p><span style=""color: black;"">Dióxido de nitrógeno (NO2), (100 a 505) ppm</span></p>";"<p><span style=""color: black;"">PEE.EL.03</span></p>/CTM 30";"--"
"661";"12";"--";"In situ";"Intensidad de campo eléctrico";"--";"Intensidad de campo eléctrico";"<p> (300 a 3400)V/m</p>";"<p>PEE.EL.053</p>/IEE STD 644-1994
Registro oficial Nro. 41.Libro VI-Anexo 10";"--"
"661";"12";"--";"In situ";"Monóxido de carbono (CO)";"--";"NDIR (Infrarrojo No Dispersivo)";"<p><span style=""color: black;"">(0,5&nbsp;– 20) PPM</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA RFCA-1093-093";"--"
"661";"12";"--";"In situ";"Monóxido de nitrógeno (NO)";"--";"Quimioluminiscencia";"<p><span style=""color: black;"">(10 PPB - 500PPB)</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA RFNA-1194-099";"--"
"661";"12";"--";"In situ";"Dioxido de nitrógeno (NO2)";"--";"Quimioluminiscencia";"<p><span style=""color: black;"">(100&nbsp;– 500) PPB</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA RFNA-1194-099";"--"
"661";"12";"--";"In situ";"Óxidos de nitrógeno (NOX)";"--";"Quimioluminiscencia";"<p><span style=""color: black;"">(10&nbsp;– 500) PPB</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA RFNA-1194-099";"--"
"661";"12";"--";"In situ";"Ozono (O3)";"--";"Quimioluminiscencia fotómetro ultravioleta";"<p><span style=""color: black;"">(100&nbsp;– 500) PPB</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA EQOA-0514-214";"--"
"661";"12";"--";"In situ";"Dióxido de azufre (SO2)";"--";"Fluorescencia UV";"<p><span style=""color: black;"">(10&nbsp;– 500) PPB</span></p>";"<p><span style=""color: black;"">PEE.EL.007</span></p>/U.S. EPA EQSA-0495-0100";"--"
"661";"12";"--";"In situ";"Vibración";"--";"Acelerómetro";"<p><span style=""color: black;"">(15,915 – 1280) Hz</span></p><p><span style=""color: black;"">&nbsp;</span></p><p><span style=""color: black;"">(60,0 a 110,0) dB</span></p>";"<p><span style=""color: black;"">PEE.EL.014</span></p>/UNE-ISO 2631-1 (2008)
 UNE-ISO 2631-2 (2011)";"--"
"661";"12";"--";"In situ";"Vibración";"--";"Acelerómetro";"<p><span style=""color: black;"">(15,915 – 1280 Hz)</span></p><p><span style=""color: black;"">&nbsp;</span></p><p><span style=""color: black;"">(0,052 a 10) m/s</span><sup style=""color: black;"">2</sup></p>";"<p><span style=""color: black;"">PEE.EL.008&nbsp;</span></p>/UNE-EN ISO 5349-1 UNE-EN ISO 5349-2 (2002)";"--"
"661";"12";"--";"In situ";"Vibración";"--";"Acelerómetro";"<p><span style=""color: black;"">(15,915 – 1280 Hz)</span></p><p><span style=""color: black;"">&nbsp;</span></p><p><span style=""color: black;"">(0,0066 a 1) m/s</span><sup style=""color: black;"">2</sup></p>";"<p><span style=""color: black;"">PEE.EL.011</span></p>/UNE-ISO 2631-1 (2008)";"--"
"661";"12";"--";"In situ";"Potencial de hidrógeno  (pH)";"--";"Electrometría";"<p><span style=""color: black;"">(2,01 a 12,50) unidades de pH</span></p>";"<p><span style=""color: black;"">PEE.EL.021</span></p>/Standard Methods, Ed. 23.2017 4500 HB";"--"
"661";"12";"--";"In situ";"Temperatura";"--";"Temperatura";"<p>(9,7 ºC hasta 110,07 ºC)</p>";"<p>PEE.EL.022</p>/Standard Methods, Ed. 23.2017 2550 B";"--"
"661";"12";"--";"In situ";"Conductividad";"--";"Electrometría";"<p><span style=""color: black;"">(9,01 hasta 200 000 µS/cm)</span></p>";"<p><span style=""color: black;"">PEE.EL.023</span></p>/Standard Methods, Ed. 23.2017 HACH 8160";"--"
"661";"12";"--";"In situ";"Turbidez";"--";"Nefelometría";"<p><span style=""color: black;"">(0,4 753) NTU</span></p>";"<p><span style=""color: black;"">PEE.EL.024</span></p>/Standard Methods, Ed. 23.2017 2130B";"--"
"661";"12";"--";"In situ";"Oxígeno disuelto";"--";"Electrometría";"<p><span style=""color: black;"">(0,01 hasta 9,24 mg/L) para Oxígeno Disuelto</span></p><p><span style=""color: black;"">(0,2 hasta 103,6 %) para Saturación de Oxigeno</span></p>";"<p><span style=""color: black;"">PEE.EL.025</span></p>/Standard Methods, Ed. 23.2017 4500-O G";"--"
